occupation_type,signup_goal,plan_type,signup_discount_used,avg_quiz_score,video_replay_count,course_completion_rate,days_since_last_login,engagement_trend,hands_on_exercises_completed,project_submissions,forum_posts,goal_progress_score,peer_completion_percentile,tenure_months,payment_failures,support_tickets_raised,satisfaction_score,churned,days_to_churn,monthly_price,clv
Student,Certification,Monthly,No,59.6,2,50.9,1,0,4,0,1,26.6,32.8,5,0,1,3,0,,15,90
Working Professional,Hobby,Monthly,No,92.0,2,86.0,16,0,10,0,1,20.5,84.3,2,0,1,4,0,,15,45
Career Switcher,Get a Job,Monthly,No,86.4,1,100.0,4,1,11,4,3,91.7,98.2,4,0,0,4,0,,15,75
Student,Hobby,Monthly,No,77.8,2,54.6,3,1,6,0,7,49.4,37.1,1,0,0,4,0,,15,30
Career Switcher,Get a Job,Monthly,Yes,63.3,4,66.4,14,0,5,1,2,22.6,54.2,2,1,0,3,1,29.0,15,45
Student,Hobby,Monthly,Yes,56.8,0,79.4,27,-1,10,2,1,81.9,75.2,10,1,3,4,0,,15,165
Career Switcher,Get a Job,Monthly,Yes,61.1,4,29.6,24,-1,0,0,1,24.2,11.3,24,0,1,2,1,5.0,15,375
Working Professional,Hobby,Monthly,Yes,93.2,0,77.3,1,0,6,1,0,63.3,71.5,1,0,1,4,0,,15,30
Career Switcher,Get a Job,Annual,No,60.6,1,60.5,6,-1,6,1,1,23.6,45.5,3,0,1,4,0,,10,40
Student,Get a Job,Monthly,No,71.5,4,95.2,0,0,12,1,2,56.2,93.4,3,0,0,4,0,,15,60
Career Switcher,Certification,Annual,Yes,58.7,5,98.5,32,-1,6,0,0,0.0,95.9,2,0,0,5,0,,10,30
Working Professional,Certification,Monthly,No,82.6,2,60.9,2,0,4,0,0,16.8,46.1,1,0,0,4,0,,15,30
Student,Certification,Annual,Yes,61.9,3,49.0,2,0,4,0,3,42.5,30.1,1,0,0,4,0,,10,20
Career Switcher,Get a Job,Annual,No,68.5,2,59.0,21,-1,6,1,0,42.5,43.1,19,0,1,3,1,46.0,10,200
Student,Certification,Monthly,No,44.7,7,33.3,34,-1,3,0,0,19.1,13.7,8,0,3,2,1,5.0,15,135
Career Switcher,Get a Job,Monthly,Yes,45.8,6,28.0,11,0,2,0,1,2.1,10.2,2,0,1,3,0,,15,45
Student,Get a Job,Annual,No,70.1,2,36.0,1,1,4,2,2,57.8,16.0,2,1,0,4,0,,10,30
Working Professional,Certification,Annual,Yes,50.1,4,35.2,6,1,3,0,5,28.7,15.3,7,0,0,4,0,,10,80
Working Professional,Certification,Monthly,Yes,100.0,0,56.9,16,-1,1,0,1,23.0,40.0,9,1,2,4,1,121.0,15,150
Student,Get a Job,Monthly,No,39.1,5,0.0,8,0,0,0,3,26.6,0.4,2,0,0,2,1,5.0,15,45
Student,Certification,Annual,No,58.0,1,23.7,1,1,1,0,6,19.7,7.7,3,2,0,2,1,100.0,10,40
Student,Certification,Monthly,Yes,70.3,4,78.2,1,1,7,5,5,100.0,73.2,2,0,0,4,0,,15,45
Working Professional,Get a Job,Annual,No,64.5,1,69.2,19,-1,7,3,0,89.1,58.5,0,0,1,4,0,,10,10
Student,Certification,Monthly,No,53.4,2,66.1,7,0,2,1,1,60.3,53.3,3,1,1,3,0,,15,60
Working Professional,Hobby,Monthly,No,55.6,0,50.5,12,-1,4,1,2,27.6,32.4,6,0,3,3,1,55.0,15,105
Student,Get a Job,Annual,Yes,55.1,1,54.2,4,0,5,0,1,20.3,36.4,8,0,0,2,0,,10,90
Student,Certification,Annual,No,65.7,3,49.6,7,1,6,0,1,44.9,31.4,4,0,0,3,0,,10,50
Working Professional,Certification,Monthly,No,99.3,0,56.2,37,0,6,1,1,35.0,39.0,24,0,1,3,0,,15,375
Student,Certification,Monthly,No,71.2,3,68.0,4,0,10,0,3,42.7,56.4,7,0,0,4,0,,15,120
Career Switcher,Certification,Annual,Yes,87.7,0,92.8,11,-1,9,2,0,37.8,91.4,17,0,1,5,0,,10,180
Career Switcher,Get a Job,Annual,No,77.6,2,62.7,1,0,8,0,1,5.3,48.7,19,0,0,3,0,,10,200
Working Professional,Certification,Monthly,Yes,86.7,4,62.7,1,-1,5,0,1,47.5,48.6,13,1,1,5,0,,15,210
Working Professional,Get a Job,Annual,No,28.0,7,30.3,15,0,6,2,1,58.2,11.6,2,0,0,3,0,,10,30
Career Switcher,Get a Job,Annual,No,65.4,2,61.9,18,0,1,0,2,7.4,47.7,4,1,0,4,0,,10,50
Student,Certification,Annual,No,89.6,2,91.0,11,-1,9,3,0,96.1,89.5,0,0,2,4,0,,10,10
Student,Get a Job,Annual,No,61.4,0,83.3,1,0,10,4,1,90.5,80.7,4,0,1,3,0,,10,50
Student,Certification,Monthly,Yes,96.4,1,64.1,2,1,4,0,3,27.3,50.7,2,0,0,4,0,,15,45
Working Professional,Hobby,Monthly,Yes,92.3,2,78.8,24,-1,4,1,1,49.0,74.0,0,0,1,4,0,,15,15
Student,Certification,Annual,No,63.0,3,35.0,3,1,6,0,6,18.0,15.0,14,1,0,3,0,,10,150
Working Professional,Certification,Monthly,Yes,62.5,3,36.4,17,0,2,0,4,50.6,16.3,8,0,1,3,0,,15,135
Career Switcher,Certification,Monthly,Yes,54.8,3,46.4,3,1,2,0,5,16.3,27.0,24,0,0,4,0,,15,375
Career Switcher,Certification,Monthly,Yes,60.6,3,83.8,28,-1,12,2,0,46.5,81.4,5,0,1,4,1,42.0,15,90
Working Professional,Certification,Annual,No,51.5,2,77.1,24,-1,7,4,0,52.9,71.3,3,0,1,4,0,,10,40
Student,Hobby,Monthly,Yes,76.4,0,78.9,0,1,10,1,1,66.7,74.2,2,0,0,5,0,,15,45
Career Switcher,Certification,Annual,No,48.2,7,0.0,14,-1,4,2,1,55.1,0.4,4,1,1,2,0,,10,50
Working Professional,Certification,Annual,No,79.1,1,85.9,1,0,10,4,0,85.1,83.9,2,0,2,3,0,,10,30
Student,Certification,Annual,No,79.4,3,85.5,2,1,10,3,1,71.8,83.6,24,1,0,5,0,,10,250
Student,Certification,Annual,No,45.1,5,11.0,6,1,2,1,0,62.9,2.7,1,0,0,2,0,,10,20
Career Switcher,Hobby,Annual,No,93.2,2,92.5,8,0,7,2,2,84.2,91.1,0,0,1,4,0,,10,10
Working Professional,Certification,Monthly,No,77.7,0,65.7,3,0,6,1,0,19.0,52.9,1,1,0,4,1,98.0,15,30
Career Switcher,Get a Job,Annual,No,81.2,1,92.4,8,0,6,2,0,55.4,91.0,17,0,0,4,0,,10,180
Career Switcher,Certification,Monthly,Yes,58.6,2,59.8,1,0,3,3,2,58.0,44.5,9,1,3,2,1,5.0,15,150
Working Professional,Certification,Annual,No,79.3,2,58.1,0,0,3,0,4,26.6,41.7,12,1,0,3,0,,10,130
Working Professional,Get a Job,Monthly,Yes,86.9,2,74.6,8,1,8,4,4,100.0,67.1,3,0,0,4,0,,15,60
Working Professional,Certification,Annual,No,68.5,3,57.9,7,0,3,0,1,4.2,41.4,7,1,1,5,0,,10,80
Student,Certification,Annual,No,100.0,0,84.5,11,-1,13,5,1,100.0,82.1,9,0,3,4,0,,10,100
Working Professional,Hobby,Annual,Yes,70.7,1,75.7,10,-1,5,2,0,53.3,68.8,3,0,1,4,0,,10,40
Working Professional,Certification,Monthly,Yes,87.1,1,97.4,22,-1,10,0,0,41.7,95.0,10,0,2,5,0,,15,165
Working Professional,Certification,Monthly,Yes,74.4,1,50.2,6,1,3,0,7,30.5,32.0,7,2,0,4,0,,15,120
Career Switcher,Get a Job,Annual,No,78.8,2,88.4,0,1,11,2,6,42.8,87.0,2,0,1,5,0,,10,30
Working Professional,Get a Job,Monthly,Yes,44.9,7,49.1,9,0,7,1,3,41.1,30.5,0,0,1,4,0,,15,15
Working Professional,Hobby,Annual,No,75.6,0,64.7,11,0,9,3,1,49.9,51.9,2,0,0,4,0,,10,30
Working Professional,Certification,Monthly,No,59.0,2,42.8,7,1,2,0,1,11.5,22.5,7,0,0,3,1,54.0,15,120
Working Professional,Certification,Annual,No,57.3,3,21.9,11,-1,2,0,1,25.2,6.8,7,0,0,3,1,82.0,10,80
Working Professional,Certification,Monthly,Yes,96.2,1,70.5,3,0,13,0,2,25.7,60.9,5,0,0,3,0,,15,90
Student,Hobby,Monthly,No,66.8,4,59.1,1,1,2,1,3,23.7,43.3,2,0,0,4,0,,15,45
Working Professional,Certification,Annual,Yes,55.0,2,12.7,10,-1,1,0,0,27.8,3.0,4,0,2,2,1,92.0,10,50
Student,Get a Job,Monthly,Yes,64.6,3,63.7,2,0,0,0,0,9.1,50.0,1,0,0,4,1,42.0,15,30
Working Professional,Get a Job,Monthly,Yes,50.5,1,45.6,6,0,5,0,1,8.7,26.0,8,0,1,4,0,,15,135
Working Professional,Certification,Monthly,Yes,91.5,1,79.1,6,1,16,1,3,19.7,74.6,16,0,0,4,0,,15,255
Working Professional,Certification,Annual,Yes,59.6,1,31.6,6,0,5,2,1,62.2,12.4,4,0,0,3,0,,10,50
Career Switcher,Get a Job,Annual,Yes,77.9,1,78.5,9,0,6,2,1,66.2,73.6,1,1,0,3,0,,10,20
Working Professional,Certification,Annual,Yes,90.3,1,100.0,0,0,16,2,1,39.8,98.2,14,0,1,5,0,,10,150
Working Professional,Get a Job,Annual,Yes,62.5,0,47.0,45,0,2,0,2,0.0,27.7,3,0,0,4,0,,10,40
Working Professional,Certification,Monthly,No,78.0,2,46.8,12,-1,6,1,0,56.8,27.4,7,1,2,3,1,5.0,15,120
Working Professional,Hobby,Monthly,No,54.5,2,79.3,5,1,8,6,5,100.0,75.0,0,0,0,4,0,,15,15
Student,Get a Job,Monthly,No,100.0,1,88.1,2,-1,11,3,0,83.3,86.6,10,1,2,4,0,,15,165
Student,Hobby,Monthly,Yes,84.0,1,81.4,0,0,11,2,0,53.3,77.9,4,0,0,5,0,,15,75
Working Professional,Certification,Annual,Yes,67.1,5,66.4,11,1,3,1,4,48.0,54.1,4,0,0,4,0,,10,50
Working Professional,Get a Job,Annual,No,58.4,3,56.7,3,0,1,0,1,23.6,39.6,21,0,0,4,0,,10,220
Student,Hobby,Monthly,Yes,68.3,5,87.9,2,0,11,3,3,57.2,86.2,5,0,1,4,1,77.0,15,90
Student,Certification,Annual,No,64.9,5,70.0,4,1,11,3,2,67.7,60.1,0,0,0,4,0,,10,10
Student,Certification,Annual,Yes,99.3,0,73.2,8,-1,10,2,1,52.3,64.6,24,0,4,3,0,,10,250
Career Switcher,Hobby,Monthly,No,51.6,4,84.8,11,0,11,1,2,28.7,82.6,0,0,0,5,0,,15,15
Student,Get a Job,Monthly,Yes,72.0,3,91.4,10,-1,10,6,0,100.0,90.2,6,0,1,4,0,,15,105
Working Professional,Get a Job,Monthly,Yes,69.7,2,73.2,19,-1,7,2,0,62.6,64.7,8,0,2,4,1,78.0,15,135
Student,Certification,Annual,No,68.2,4,63.1,2,1,1,0,3,0.0,49.3,17,1,1,3,0,,10,180
Working Professional,Certification,Annual,No,68.4,2,37.9,10,0,6,1,0,44.8,17.9,9,1,0,3,0,,10,100
Student,Get a Job,Annual,Yes,68.3,6,68.7,1,0,1,0,0,26.6,57.6,13,0,1,4,0,,10,140
Student,Get a Job,Monthly,Yes,83.1,0,85.8,7,1,9,4,2,100.0,83.9,11,1,0,5,0,,15,180
Working Professional,Get a Job,Monthly,No,79.1,0,79.6,8,0,6,1,1,51.0,75.7,1,0,0,4,0,,15,30
Student,Hobby,Annual,Yes,76.3,1,90.5,2,1,4,1,4,41.6,88.9,9,0,0,4,0,,10,100
Student,Get a Job,Annual,Yes,24.5,2,26.3,4,0,0,0,1,19.7,9.0,8,1,1,3,0,,10,90
Student,Certification,Annual,No,74.5,2,66.0,17,-1,6,0,1,49.7,53.2,2,1,4,3,1,10.0,10,30
Student,Certification,Annual,Yes,45.2,9,40.5,1,0,7,3,2,73.9,20.4,1,0,1,2,0,,10,20
Student,Certification,Monthly,No,79.7,0,60.0,5,0,4,2,1,53.8,44.8,11,0,1,3,0,,15,180
Student,Get a Job,Annual,Yes,92.1,1,64.6,26,-1,1,0,0,21.0,51.8,24,0,1,4,0,,10,250
Career Switcher,Certification,Annual,No,56.1,6,36.8,7,0,5,1,1,53.1,16.8,10,0,0,3,0,,10,110
Working Professional,Get a Job,Monthly,Yes,66.1,7,93.8,12,1,10,4,5,100.0,92.3,11,0,0,5,0,,15,180
Working Professional,Certification,Annual,No,61.0,2,67.7,17,-1,6,0,0,36.2,55.8,1,1,1,4,1,11.0,10,20
Student,Hobby,Monthly,Yes,88.5,2,90.9,2,0,10,4,1,78.8,89.4,2,0,0,4,0,,15,45
Career Switcher,Get a Job,Monthly,Yes,71.4,6,77.6,2,1,11,5,3,100.0,72.1,7,0,0,5,0,,15,120
Working Professional,Certification,Monthly,Yes,95.9,2,64.3,14,0,6,2,2,54.7,51.1,0,0,0,5,0,,15,15
Student,Certification,Monthly,No,76.2,1,49.4,13,-1,2,0,0,36.0,31.0,8,0,3,3,1,92.0,15,135
Working Professional,Certification,Monthly,Yes,73.6,5,53.7,0,0,3,0,0,27.3,35.8,1,1,0,3,1,27.0,15,30
Student,Hobby,Monthly,No,71.0,2,73.0,3,-1,7,1,0,53.8,64.4,4,1,3,3,0,,15,75
Student,Hobby,Monthly,Yes,82.3,0,77.0,5,1,2,0,3,28.1,71.2,3,0,0,3,0,,15,60
Working Professional,Certification,Monthly,Yes,43.9,9,4.5,17,-1,0,0,0,17.2,1.0,0,0,3,2,1,5.0,15,15
Career Switcher,Get a Job,Monthly,Yes,71.3,6,36.9,5,0,3,2,3,65.8,17.0,6,0,2,3,1,83.0,15,105
Working Professional,Hobby,Monthly,Yes,68.9,3,31.4,26,-1,6,2,0,65.8,12.2,3,1,4,1,1,5.0,15,60
Working Professional,Hobby,Monthly,No,80.9,0,70.8,56,-1,19,1,0,43.6,61.4,0,0,1,5,0,,15,15
Career Switcher,Get a Job,Annual,No,67.2,2,31.8,15,-1,2,0,1,23.8,12.6,4,1,0,3,1,76.0,10,50
Student,Certification,Monthly,No,54.4,6,57.9,10,0,2,0,2,17.7,41.5,7,0,0,3,0,,15,120
Student,Get a Job,Annual,No,70.1,2,44.0,4,-1,3,2,0,64.4,24.0,1,1,1,2,0,,10,20
Working Professional,Hobby,Monthly,Yes,53.8,4,67.7,0,1,2,0,1,46.9,55.8,7,0,0,3,0,,15,120
Working Professional,Get a Job,Annual,No,41.1,10,10.4,8,1,1,0,5,10.5,2.5,2,0,0,2,1,64.0,10,30
Working Professional,Certification,Monthly,No,80.9,1,83.8,4,1,11,4,2,100.0,81.5,2,0,0,4,0,,15,45
Career Switcher,Get a Job,Monthly,No,78.7,1,79.4,4,1,4,0,2,26.3,75.3,12,0,0,4,0,,15,195
Working Professional,Certification,Annual,No,77.0,3,85.9,11,-1,8,3,2,57.7,84.1,5,1,3,4,0,,10,60
Working Professional,Certification,Monthly,Yes,89.5,0,88.1,6,0,10,2,1,25.9,86.5,3,2,1,5,1,65.0,15,60
Student,Hobby,Monthly,Yes,60.0,2,67.9,13,0,6,2,3,52.7,56.1,13,1,2,3,0,,15,210
Career Switcher,Get a Job,Monthly,No,48.5,5,37.5,5,0,7,4,2,100.0,17.6,19,0,0,3,0,,15,300
Career Switcher,Get a Job,Annual,Yes,68.9,2,65.8,1,-1,6,2,0,55.6,53.1,3,0,2,4,0,,10,40
Career Switcher,Get a Job,Monthly,Yes,64.8,2,61.0,6,0,6,1,1,53.2,46.1,0,0,2,4,0,,15,15
Student,Get a Job,Annual,Yes,57.4,3,41.7,30,-1,1,1,0,62.0,21.3,6,0,2,2,1,5.0,10,70
Working Professional,Certification,Annual,No,68.8,3,72.0,16,-1,7,1,0,30.8,63.1,10,0,0,4,1,80.0,10,110
Student,Certification,Monthly,Yes,60.8,4,41.1,2,1,2,0,5,33.4,20.8,7,0,1,2,0,,15,120
Student,Get a Job,Annual,No,42.5,6,20.6,4,0,1,2,0,62.0,6.2,9,0,0,3,1,158.0,10,100
Student,Get a Job,Annual,Yes,63.4,2,37.8,26,-1,1,0,0,13.5,17.8,8,0,0,3,1,5.0,10,90
Working Professional,Get a Job,Annual,No,53.0,5,37.4,1,-1,3,1,1,21.3,17.4,24,0,1,2,1,70.0,10,250
Working Professional,Certification,Monthly,No,73.5,2,48.7,2,1,5,2,4,78.5,29.6,16,0,0,5,0,,15,255
Student,Hobby,Annual,Yes,60.2,2,50.3,3,1,4,0,4,53.5,32.2,1,0,0,3,0,,10,20
Working Professional,Hobby,Monthly,Yes,86.7,1,67.8,8,-1,2,0,0,32.8,56.0,4,2,0,4,0,,15,75
Working Professional,Certification,Annual,Yes,94.1,1,80.3,5,0,10,2,2,78.5,76.6,4,0,0,5,0,,10,50
Working Professional,Certification,Monthly,Yes,80.2,1,82.4,0,1,10,5,4,83.4,79.3,4,2,0,4,0,,15,75
Student,Hobby,Monthly,No,46.7,5,16.8,9,-1,1,0,0,14.6,4.5,21,1,1,2,1,5.0,15,330
Working Professional,Get a Job,Annual,No,92.6,0,100.0,1,1,14,1,1,37.6,98.2,3,0,0,5,0,,10,40
Working Professional,Certification,Annual,No,93.6,2,85.0,9,0,16,6,0,100.0,82.9,7,1,1,5,0,,10,80
Student,Hobby,Monthly,Yes,70.3,3,57.4,7,0,3,1,1,47.5,40.4,18,0,2,3,0,,15,285
Student,Get a Job,Monthly,Yes,89.8,2,69.9,6,1,7,2,3,71.1,59.8,0,0,0,4,0,,15,15
Working Professional,Get a Job,Annual,No,61.7,5,57.8,0,0,3,1,1,28.4,41.2,16,0,0,3,0,,10,170
Career Switcher,Hobby,Annual,No,42.0,5,28.6,10,-1,0,0,1,58.1,10.5,11,0,1,3,1,38.0,10,120
Working Professional,Certification,Annual,No,58.6,3,54.9,5,0,0,0,1,41.8,37.7,1,1,1,3,0,,10,20
Working Professional,Get a Job,Annual,No,95.9,1,100.0,5,1,7,4,4,100.0,98.2,3,0,0,5,0,,10,40
Working Professional,Certification,Monthly,Yes,47.6,6,0.0,9,-1,1,0,0,3.4,0.4,2,0,3,1,1,5.0,15,45
Working Professional,Certification,Monthly,Yes,70.0,1,47.4,9,-1,4,0,0,22.7,28.3,2,0,1,3,0,,15,45
Student,Certification,Annual,No,70.5,3,69.3,0,-1,4,2,0,46.4,58.7,8,0,2,4,1,39.0,10,90
Working Professional,Certification,Annual,No,62.3,5,37.1,1,1,2,0,2,41.7,17.2,24,0,1,3,0,,10,250
Career Switcher,Hobby,Monthly,Yes,63.3,4,24.1,2,0,0,0,1,63.6,8.0,1,1,0,2,0,,15,30
Working Professional,Certification,Annual,Yes,71.1,9,44.6,11,-1,6,0,0,24.4,24.9,2,0,2,2,1,5.0,10,30
Career Switcher,Get a Job,Annual,No,61.6,1,75.9,8,0,8,3,0,91.0,69.2,2,2,2,4,0,,10,30
Working Professional,Certification,Monthly,No,48.7,5,11.9,14,0,2,0,1,51.7,2.8,22,0,1,2,0,,15,345
Student,Certification,Monthly,Yes,73.2,7,47.9,13,1,3,1,5,49.9,28.8,7,2,0,4,0,,15,120
Career Switcher,Get a Job,Monthly,Yes,86.1,1,86.3,19,-1,5,2,0,67.0,84.6,1,0,0,4,1,177.0,15,30
Student,Hobby,Monthly,No,83.0,2,71.3,4,1,6,0,6,10.3,62.2,13,0,1,5,0,,15,210
Working Professional,Hobby,Monthly,No,57.9,4,46.2,4,0,1,0,1,63.5,26.8,20,1,0,3,1,123.0,15,315
Student,Certification,Monthly,Yes,51.2,6,42.0,17,-1,9,1,1,40.5,21.7,4,0,1,3,1,5.0,15,75
Student,Certification,Annual,No,65.7,4,43.6,2,1,4,0,2,70.0,23.6,1,0,0,3,0,,10,20
Working Professional,Certification,Monthly,Yes,93.5,0,62.6,6,1,2,0,5,17.2,48.4,2,1,0,4,0,,15,45
Student,Certification,Monthly,No,79.7,1,76.1,2,1,10,3,4,82.1,69.8,1,0,0,4,0,,15,30
Working Professional,Certification,Monthly,Yes,80.6,0,96.0,24,0,14,4,2,100.0,94.1,1,0,1,5,0,,15,30
Working Professional,Certification,Annual,Yes,83.3,1,100.0,5,1,17,2,3,22.5,98.2,1,0,0,5,0,,10,20
Student,Hobby,Annual,No,76.3,0,98.7,2,-1,10,2,0,86.7,96.1,16,0,2,4,0,,10,170
Student,Certification,Monthly,Yes,71.8,2,57.8,11,1,7,1,2,56.1,41.2,0,0,0,4,0,,15,15
Working Professional,Certification,Annual,No,79.9,0,100.0,2,0,7,3,1,52.6,98.2,4,0,0,4,0,,10,50
Student,Hobby,Monthly,Yes,61.8,1,100.0,28,-1,5,5,0,95.5,98.2,0,0,2,5,0,,15,15
Working Professional,Get a Job,Monthly,No,48.8,4,27.7,4,0,1,0,3,13.6,9.9,2,0,0,4,1,5.0,15,45
Working Professional,Certification,Monthly,No,80.8,1,65.1,10,-1,3,1,0,43.0,52.2,9,1,5,2,1,5.0,15,150
Career Switcher,Get a Job,Annual,Yes,88.6,0,99.7,4,1,12,2,1,54.0,96.4,1,1,0,5,0,,10,20
Working Professional,Certification,Monthly,No,53.2,2,30.9,16,-1,5,0,1,29.0,11.9,24,2,3,2,1,5.0,15,375
Working Professional,Certification,Annual,No,82.3,1,66.7,22,-1,2,0,0,42.9,54.5,0,1,0,3,0,,10,10
Working Professional,Certification,Annual,No,95.2,0,48.8,15,0,2,1,0,57.3,29.7,1,0,1,3,0,,10,20
Student,Hobby,Monthly,Yes,70.0,5,69.5,18,-1,0,0,0,40.1,59.1,12,1,1,3,1,7.0,15,195
Student,Certification,Monthly,No,57.7,2,8.7,1,1,0,1,2,48.4,2.0,24,1,2,2,1,11.0,15,375
Working Professional,Certification,Monthly,Yes,71.8,5,74.9,25,0,7,2,0,58.1,67.6,24,0,0,4,0,,15,375
Working Professional,Certification,Annual,Yes,61.7,5,91.2,9,0,8,4,2,75.4,89.8,12,0,1,5,0,,10,130
Working Professional,Certification,Monthly,Yes,60.7,3,89.6,20,-1,7,1,0,44.1,88.0,24,0,1,5,0,,15,375
Career Switcher,Get a Job,Annual,No,76.5,2,61.0,11,-1,7,4,0,100.0,46.3,14,0,1,4,0,,10,150
Career Switcher,Get a Job,Monthly,No,45.9,4,0.0,2,0,1,0,0,0.0,0.4,0,1,1,2,1,6.0,15,15
Career Switcher,Get a Job,Annual,No,48.3,2,15.4,9,0,0,0,0,0.0,3.9,14,0,1,2,0,,10,150
Working Professional,Get a Job,Annual,No,70.3,5,72.6,0,0,7,4,2,100.0,63.7,5,0,3,4,0,,10,60
Student,Certification,Monthly,Yes,69.7,5,79.1,11,0,14,2,1,71.8,74.7,4,0,0,5,0,,15,75
Working Professional,Certification,Monthly,Yes,75.2,3,90.0,5,-1,8,1,0,63.3,88.5,0,2,2,3,0,,15,15
Working Professional,Certification,Annual,Yes,98.1,1,87.9,1,1,14,2,4,66.7,86.3,7,0,1,4,0,,10,80
Working Professional,Hobby,Monthly,No,71.6,2,100.0,38,0,8,3,0,50.6,98.2,8,1,2,4,0,,15,135
Working Professional,Certification,Annual,No,79.0,3,72.8,23,-1,6,0,1,27.7,64.2,12,1,1,3,0,,10,130
Working Professional,Hobby,Monthly,Yes,55.4,6,39.4,22,-1,3,2,2,42.7,19.3,3,1,3,1,1,5.0,15,60
Working Professional,Get a Job,Annual,Yes,81.5,0,62.2,15,-1,2,0,1,29.1,47.9,1,0,0,4,0,,10,20
Student,Certification,Monthly,Yes,62.1,4,63.7,11,0,5,0,1,24.2,49.9,4,0,0,3,0,,15,75
Working Professional,Hobby,Annual,No,71.1,1,51.4,10,1,4,1,4,42.6,33.5,3,1,0,4,0,,10,40
Student,Certification,Annual,No,68.4,3,71.5,1,0,17,0,4,43.8,62.4,11,0,0,5,0,,10,120
Career Switcher,Certification,Annual,No,85.5,1,73.2,23,-1,8,3,0,74.4,64.7,2,1,2,3,1,45.0,10,30
Student,Certification,Annual,Yes,50.4,3,67.6,21,0,5,1,2,61.1,55.6,1,1,1,4,0,,10,20
Student,Get a Job,Annual,No,35.8,5,19.2,13,-1,2,1,0,23.8,5.5,4,0,1,2,1,19.0,10,50
Student,Certification,Monthly,No,66.8,4,51.7,26,-1,2,1,0,46.3,33.7,7,0,1,4,0,,15,120
Working Professional,Certification,Annual,Yes,77.0,0,79.0,8,-1,8,4,0,97.6,74.4,2,0,0,4,0,,10,30
Working Professional,Hobby,Annual,No,72.3,5,21.0,5,1,0,0,0,0.7,6.4,0,0,0,2,1,5.0,10,10
Student,Get a Job,Annual,Yes,88.5,2,77.9,34,-1,13,4,3,100.0,72.5,4,0,2,4,0,,10,50
Student,Hobby,Annual,No,76.6,0,88.4,6,1,7,2,0,50.8,87.1,24,1,0,4,0,,10,250
Working Professional,Hobby,Monthly,No,61.5,3,35.2,10,0,6,1,5,50.8,15.3,24,0,0,3,0,,15,375
Student,Get a Job,Annual,No,35.1,7,53.7,4,1,4,2,1,56.9,35.7,9,1,0,4,0,,10,100
Working Professional,Certification,Monthly,No,66.4,0,55.1,10,-1,5,0,0,34.4,37.9,12,0,1,4,0,,15,195
Working Professional,Hobby,Monthly,Yes,85.4,1,70.6,12,-1,15,1,2,46.5,61.1,1,1,2,3,0,,15,30
Working Professional,Hobby,Monthly,Yes,64.1,4,41.9,9,-1,6,1,1,67.2,21.6,3,1,2,3,1,5.0,15,60
Student,Certification,Monthly,Yes,70.4,0,82.4,7,1,5,1,4,76.7,79.4,7,0,1,4,0,,15,120
Career Switcher,Get a Job,Annual,No,76.3,2,67.6,3,1,6,4,5,95.0,55.7,11,0,0,4,0,,10,120
Working Professional,Certification,Monthly,Yes,54.8,5,61.0,10,0,4,0,1,30.4,46.2,1,0,1,3,0,,15,30
Working Professional,Certification,Monthly,Yes,79.3,2,93.2,23,-1,14,4,0,100.0,91.9,4,0,0,5,0,,15,75
Student,Get a Job,Annual,No,94.6,1,88.3,0,0,10,4,1,100.0,86.9,1,0,0,5,0,,10,20
Working Professional,Certification,Monthly,Yes,67.4,5,43.7,1,0,5,0,2,34.2,23.8,8,0,0,3,0,,15,135
Student,Get a Job,Annual,Yes,53.1,4,71.8,1,0,5,2,4,56.2,62.7,11,0,1,4,0,,10,120
Working Professional,Get a Job,Monthly,Yes,69.0,3,58.1,25,0,4,2,3,50.0,41.8,14,0,1,4,0,,15,225
Career Switcher,Get a Job,Monthly,Yes,36.6,3,0.0,10,-1,3,2,0,49.8,0.4,10,0,3,1,1,5.0,15,165
Working Professional,Certification,Annual,No,75.1,1,98.3,30,-1,12,4,1,52.9,95.8,1,0,1,5,0,,10,20
Student,Get a Job,Annual,No,76.8,1,70.8,8,1,9,2,3,61.7,61.3,14,1,0,5,0,,10,150
Student,Certification,Annual,No,95.1,0,77.4,6,1,9,5,2,100.0,71.6,3,0,0,5,0,,10,40
Working Professional,Certification,Monthly,Yes,67.1,3,61.2,15,-1,3,1,0,30.7,46.7,14,0,3,4,1,185.0,15,225
Student,Get a Job,Annual,No,76.1,2,72.0,1,0,6,1,0,32.2,63.1,2,0,0,5,0,,10,30
Student,Get a Job,Monthly,Yes,57.1,1,70.1,4,1,12,3,0,70.6,60.4,5,1,0,4,0,,15,90
Working Professional,Hobby,Monthly,No,64.7,2,32.9,6,-1,6,0,0,48.0,13.4,6,1,1,3,1,25.0,15,105
Working Professional,Certification,Monthly,Yes,47.1,4,16.4,3,-1,1,0,1,24.0,4.2,0,0,3,2,1,5.0,15,15
Student,Certification,Monthly,No,67.1,4,79.5,4,1,6,0,4,41.6,75.5,18,0,1,4,0,,15,285
Career Switcher,Get a Job,Monthly,Yes,65.4,2,55.5,0,1,3,3,3,81.8,38.4,5,1,0,3,0,,15,90
Student,Hobby,Monthly,Yes,74.5,1,33.9,2,-1,2,0,1,25.2,14.2,1,2,0,3,1,41.0,15,30
Career Switcher,Get a Job,Annual,No,60.6,4,56.6,4,-1,7,0,0,4.6,39.5,1,0,4,2,1,5.0,10,20
